Identifier	Chromosome	Prediction 	Probability 	gpi-Prediction	Anchor Position
FgramCML3066_01t01467	Chromosome_1	Non-effector	1	0.756	N-488
FgramCML3066_01t01481	Chromosome_1	Non-effector	0.806	0	N-242
FgramCML3066_01t01513	Chromosome_1	Effector	0.947	0.002	N-139
FgramCML3066_01t01545	Chromosome_1	Non-effector	0.928	0.942	I-283
FgramCML3066_01t01635	Chromosome_1	Non-effector	1	0.36	M-436
FgramCML3066_01t01809	Chromosome_1	Non-effector	1	0.604	S-485
FgramCML3066_01t01861	Chromosome_1	Non-effector	1	0.216	R-853
FgramCML3066_01t01895	Chromosome_1	Non-effector	1	0.323	S-805
FgramCML3066_01t01957	Chromosome_1	Non-effector	0.99	0.698	W-273
FgramCML3066_01t01985	Chromosome_1	Effector	0.982	0.026	W-207
FgramCML3066_01t01987	Chromosome_1	Effector	0.726	0.627	H-186
FgramCML3066_01t02013	Chromosome_1	Non-effector	0.942	0.001	N-194
FgramCML3066_01t02039	Chromosome_1	Non-effector	1	0.394	S-387
FgramCML3066_01t02141	Chromosome_1	Effector	0.512	0.463	M-44
FgramCML3066_01t02497	Chromosome_1	Non-effector	1	0.675	S-318
FgramCML3066_01t02503	Chromosome_1	Non-effector	1	0.36	N-511
FgramCML3066_01t02907	Chromosome_1	Non-effector	1	0.867	V-50
FgramCML3066_01t02957	Chromosome_1	Non-effector	0.999	0.001	F-177
FgramCML3066_01t03095	Chromosome_1	Effector	0.567	0.983	C-143
FgramCML3066_01t03097	Chromosome_1	Non-effector	1	0.741	G-387
FgramCML3066_01t03209	Chromosome_1	Non-effector	1	0.548	M-553
FgramCML3066_01t03367	Chromosome_1	Non-effector	1	0.855	W-421
FgramCML3066_01t03409	Chromosome_1	Non-effector	0.999	0	H-212
FgramCML3066_01t03769	Chromosome_1	Non-effector	1	0.252	N-360
FgramCML3066_01t03857	Chromosome_1	Non-effector	1	0.548	C-350
FgramCML3066_01t03907	Chromosome_1	Non-effector	1	0.001	V-694
FgramCML3066_01t03929	Chromosome_1	Non-effector	1	0.493	P-248
FgramCML3066_01t03947	Chromosome_1	Non-effector	1	0.428	N-568
FgramCML3066_01t03959	Chromosome_1	Non-effector	1	0.252	A-355
FgramCML3066_01t03989	Chromosome_1	Non-effector	0.994	0.182	E-315
FgramCML3066_01t04021	Chromosome_1	Non-effector	1	0.855	G-521
FgramCML3066_01t04075	Chromosome_1	Effector	0.751	0.026	N-231
FgramCML3066_01t04107	Chromosome_1	Effector	1	0.252	Y-137
FgramCML3066_01t04135	Chromosome_1	Non-effector	1	0.012	N-596
FgramCML3066_01t04141	Chromosome_1	Effector	1	0.154	C-214
FgramCML3066_01t04197	Chromosome_1	Non-effector	1	0.522	D-571
FgramCML3066_01t04239	Chromosome_1	Non-effector	0.998	0.288	S-300
FgramCML3066_01t04287	Chromosome_1	Non-effector	1	0.899	S-420
FgramCML3066_01t04299	Chromosome_1	Effector	0.688	0.036	G-209
FgramCML3066_01t04321	Chromosome_1	Effector	1	0.72	Q-91
FgramCML3066_01t04341	Chromosome_1	Non-effector	0.996	0.004	N-179
FgramCML3066_01t04355	Chromosome_1	Non-effector	0.997	0.154	N-255
FgramCML3066_01t04361	Chromosome_1	Non-effector	1	0.548	I-589
FgramCML3066_01t04405	Chromosome_1	Non-effector	1	0.942	N-723
FgramCML3066_01t04409	Chromosome_1	Non-effector	1	0.72	L-576
FgramCML3066_01t04429	Chromosome_1	Effector	0.925	0.522	S-148
FgramCML3066_01t04435	Chromosome_1	Non-effector	1	0.548	S-347
FgramCML3066_01t04459	Chromosome_1	Non-effector	1	0.182	P-380
FgramCML3066_01t04463	Chromosome_1	Effector	1	0.652	C-78
FgramCML3066_01t04501	Chromosome_1	Non-effector	1	0.394	S-524
FgramCML3066_01t04567	Chromosome_1	Non-effector	0.878	0.919	G-239
FgramCML3066_01t04813	Chromosome_1	Non-effector	0.883	0.548	N-253
FgramCML3066_01t04819	Chromosome_1	Non-effector	1	0.548	P-358
FgramCML3066_01t04833	Chromosome_1	Non-effector	1	0.698	S-370
FgramCML3066_01t04843	Chromosome_1	Non-effector	1	0.216	N-627
FgramCML3066_01t04895	Chromosome_1	Non-effector	1	0.182	D-461
FgramCML3066_01t05001	Chromosome_1	Non-effector	1	0.575	R-387
FgramCML3066_01t05041	Chromosome_1	Non-effector	0.878	0.001	N-163
FgramCML3066_01t05109	Chromosome_1	Non-effector	1	0.182	Q-480
FgramCML3066_01t05115	Chromosome_1	Non-effector	1	0	N-227
FgramCML3066_01t05117	Chromosome_1	Effector	1	0.463	D-126
FgramCML3066_01t05171	Chromosome_1	Non-effector	1	0.522	C-510
FgramCML3066_01t05201	Chromosome_1	Non-effector	1	0.994	Q-397
FgramCML3066_01t05213	Chromosome_1	Non-effector	1	0.675	G-384
FgramCML3066_01t05263	Chromosome_1	Effector	0.781	0.879	S-118
FgramCML3066_01t05265	Chromosome_1	Non-effector	1	0.036	H-459
FgramCML3066_01t05295	Chromosome_1	Effector	0.995	0.004	N-138
FgramCML3066_01t05315	Chromosome_1	Non-effector	0.996	0.182	M-327
FgramCML3066_01t05349	Chromosome_1	Non-effector	0.995	0.288	Q-315
FgramCML3066_01t05353	Chromosome_1	Non-effector	1	0.252	D-517
FgramCML3066_01t05359	Chromosome_1	Non-effector	1	0.741	S-375
FgramCML3066_01t05411	Chromosome_1	Non-effector	1	0.575	S-640
FgramCML3066_01t05463	Chromosome_1	Non-effector	1	0.001	N-181
FgramCML3066_01t05481	Chromosome_1	Effector	0.751	0.756	E-199
FgramCML3066_01t05485	Chromosome_1	Non-effector	1	0.252	K-481
FgramCML3066_01t05487	Chromosome_1	Non-effector	1	0.252	D-168
FgramCML3066_01t05491	Chromosome_1	Non-effector	1	0.493	M-356
FgramCML3066_01t05505	Chromosome_1	Non-effector	1	0.675	W-345
FgramCML3066_01t05519	Chromosome_1	Non-effector	1	0.36	D-215
FgramCML3066_01t05607	Chromosome_1	Effector	0.963	0.675	G-126
FgramCML3066_01t05617	Chromosome_1	Non-effector	1	0.05	S-873
FgramCML3066_01t05645	Chromosome_1	Non-effector	1	0.698	S-649
FgramCML3066_01t05649	Chromosome_1	Non-effector	1	0.463	S-582
FgramCML3066_01t05653	Chromosome_1	Non-effector	0.985	0.72	S-311
FgramCML3066_01t05663	Chromosome_1	Non-effector	1	0.074	S-376
FgramCML3066_01t05667	Chromosome_1	Non-effector	1	0.288	S-528
FgramCML3066_01t05687	Chromosome_1	Non-effector	1	0.36	V-3958
FgramCML3066_01t05693	Chromosome_1	Non-effector	1	0.252	D-267
FgramCML3066_01t05701	Chromosome_1	Non-effector	1	0.018	A-405
FgramCML3066_01t05705	Chromosome_1	Non-effector	0.885	0.84	D-271
FgramCML3066_01t05715	Chromosome_1	Non-effector	1	0.216	D-402
FgramCML3066_01t05755	Chromosome_1	Effector	0.996	0.756	I-94
FgramCML3066_01t05761	Chromosome_1	Non-effector	0.967	0.698	K-263
FgramCML3066_01t05769	Chromosome_1	Non-effector	0.603	0.428	Q-214
FgramCML3066_01t05777	Chromosome_1	Non-effector	1	0.001	N-212
FgramCML3066_01t05781	Chromosome_1	Effector	1	0.036	N-66
FgramCML3066_01t05801	Chromosome_1	Non-effector	1	0.154	F-510
FgramCML3066_01t05831	Chromosome_1	Non-effector	1	0.627	N-425
FgramCML3066_01t05867	Chromosome_1	Non-effector	1	0.927	S-362
FgramCML3066_01t05923	Chromosome_1	Non-effector	1	0.01	A-583
FgramCML3066_01t05965	Chromosome_1	Non-effector	1	0.005	W-574
FgramCML3066_01t06169	Chromosome_1	Non-effector	1	0.154	E-525
FgramCML3066_01t06245	Chromosome_1	Non-effector	0.804	0.954	S-222
FgramCML3066_01t06329	Chromosome_1	Non-effector	0.795	0.909	G-256
FgramCML3066_01t06411	Chromosome_1	Non-effector	0.976	0.879	N-258
FgramCML3066_01t06425	Chromosome_1	Non-effector	1	0.154	S-365
FgramCML3066_01t06441	Chromosome_1	Non-effector	0.999	0	N-328
FgramCML3066_01t06459	Chromosome_1	Effector	0.986	0.575	C-94
FgramCML3066_01t06485	Chromosome_1	Non-effector	0.992	0.463	K-259
FgramCML3066_01t06575	Chromosome_1	Non-effector	1	0	S-454
FgramCML3066_01t06577	Chromosome_1	Non-effector	1	0.997	P-371
FgramCML3066_01t06645	Chromosome_1	Non-effector	0.954	0.001	G-179
FgramCML3066_01t06707	Chromosome_1	Effector	0.999	0.627	D-69
FgramCML3066_01t06747	Chromosome_1	Non-effector	1	0.493	Q-527
FgramCML3066_01t06751	Chromosome_1	Non-effector	0.941	0.091	S-232
FgramCML3066_01t06973	Chromosome_1	Non-effector	0.52	0	N-143
FgramCML3066_01t07091	Chromosome_1	Non-effector	1	0.252	I-920
FgramCML3066_01t07179	Chromosome_1	Non-effector	1	0.021	Q-475
FgramCML3066_01t07341	Chromosome_1	Non-effector	1	0.005	Y-597
FgramCML3066_01t07397	Chromosome_1	Non-effector	0.992	0	A-133
FgramCML3066_01t07513	Chromosome_1	Non-effector	1	0.002	P-389
FgramCML3066_01t07589	Chromosome_1	Non-effector	0.998	0.89	N-294
FgramCML3066_01t07593	Chromosome_1	Effector	0.997	0.154	H-139
FgramCML3066_01t07605	Chromosome_1	Effector	0.949	0.855	G-114
FgramCML3066_01t07857	Chromosome_1	Non-effector	0.823	0.789	H-230
FgramCML3066_01t07895	Chromosome_1	Effector	0.753	0.548	W-72
FgramCML3066_01t07905	Chromosome_1	Non-effector	1	0	S-761
FgramCML3066_01t07919	Chromosome_1	Non-effector	0.859	0.002	N-189
FgramCML3066_01t07923	Chromosome_1	Non-effector	1	0.252	G-593
FgramCML3066_01t07959	Chromosome_1	Non-effector	1	0.091	E-850
FgramCML3066_01t08049	Chromosome_1	Non-effector	1	0.627	Q-581
FgramCML3066_01t08103	Chromosome_1	Non-effector	1	0.043	A-305
FgramCML3066_01t08151	Chromosome_1	Non-effector	1	0.463	N-1737
FgramCML3066_01t08297	Chromosome_1	Non-effector	1	0.604	S-265
FgramCML3066_01t08309	Chromosome_1	Non-effector	1	0.252	S-396
FgramCML3066_01t08385	Chromosome_1	Non-effector	1	0.604	G-375
FgramCML3066_01t08409	Chromosome_1	Non-effector	1	0.72	V-336
FgramCML3066_01t08425	Chromosome_1	Effector	1	0.05	Y-77
FgramCML3066_01t08427	Chromosome_1	Effector	0.929	0.675	A-210
FgramCML3066_01t08439	Chromosome_1	Effector	0.949	0.394	M-192
FgramCML3066_01t08443	Chromosome_1	Effector	0.962	0.741	C-251
FgramCML3066_01t08455	Chromosome_1	Effector	0.969	0.043	N-176
FgramCML3066_01t08461	Chromosome_1	Non-effector	1	0.043	N-397
FgramCML3066_01t08469	Chromosome_1	Non-effector	0.818	0.909	S-56
FgramCML3066_01t08473	Chromosome_1	Non-effector	0.996	0.043	V-290
FgramCML3066_01t08475	Chromosome_1	Effector	1	0.627	S-76
FgramCML3066_01t08479	Chromosome_1	Non-effector	1	0.652	V-1460
FgramCML3066_01t08483	Chromosome_1	Non-effector	1	0.074	N-345
FgramCML3066_01t08537	Chromosome_1	Effector	1	0.394	C-150
FgramCML3066_01t08539	Chromosome_1	Non-effector	1	0.36	S-744
FgramCML3066_01t08549	Chromosome_1	Effector	0.999	0.867	P-101
FgramCML3066_01t08553	Chromosome_1	Non-effector	0.963	0.855	Y-118
FgramCML3066_01t08555	Chromosome_1	Non-effector	1	0.493	K-366
FgramCML3066_01t08563	Chromosome_1	Non-effector	0.999	0.001	N-174
FgramCML3066_01t08575	Chromosome_1	Effector	0.994	0.522	S-132
FgramCML3066_01t08579	Chromosome_1	Non-effector	1	0.36	V-546
FgramCML3066_01t08581	Chromosome_1	Non-effector	0.965	0.919	N-158
FgramCML3066_01t08585	Chromosome_1	Non-effector	1	0.675	A-464
FgramCML3066_01t08589	Chromosome_1	Non-effector	1	0.018	D-508
FgramCML3066_01t08595	Chromosome_1	Non-effector	1	0.899	L-463
FgramCML3066_01t08603	Chromosome_1	Non-effector	1	0.84	Q-804
FgramCML3066_01t08627	Chromosome_1	Effector	0.996	0.824	R-53
FgramCML3066_01t08649	Chromosome_1	Effector	0.569	0.972	S-205
FgramCML3066_01t08683	Chromosome_1	Non-effector	1	0.855	G-261
FgramCML3066_01t08697	Chromosome_1	Non-effector	1	0.773	I-532
FgramCML3066_01t08699	Chromosome_1	Non-effector	1	0.018	N-273
FgramCML3066_01t08705	Chromosome_1	Non-effector	1	0.942	R-348
FgramCML3066_01t08727	Chromosome_1	Effector	0.977	0.698	Y-40
FgramCML3066_01t08745	Chromosome_1	Non-effector	1	0.824	E-381
FgramCML3066_01t08747	Chromosome_1	Non-effector	1	0.252	N-990
FgramCML3066_01t08749	Chromosome_1	Non-effector	1	0.807	D-775
FgramCML3066_01t08767	Chromosome_1	Non-effector	1	0.604	R-464
FgramCML3066_01t08829	Chromosome_1	Non-effector	1	0.394	N-421
FgramCML3066_01t08865	Chromosome_2	Effector	0.621	0.548	C-102
FgramCML3066_01t08911	Chromosome_2	Effector	0.994	0.216	C-159
FgramCML3066_01t08917	Chromosome_2	Effector	1	0.756	E-68
FgramCML3066_01t08929	Chromosome_2	Non-effector	1	0.675	V-743
FgramCML3066_01t08931	Chromosome_2	Effector	0.708	0.698	I-154
FgramCML3066_01t08937	Chromosome_2	Non-effector	1	0.604	V-557
FgramCML3066_01t08949	Chromosome_2	Non-effector	1	0.288	S-443
FgramCML3066_01t08951	Chromosome_2	Non-effector	1	0.675	S-379
FgramCML3066_01t08961	Chromosome_2	Non-effector	1	0.652	M-313
FgramCML3066_01t08979	Chromosome_2	Non-effector	1	0.807	W-273
FgramCML3066_01t09003	Chromosome_2	Effector	0.866	0.018	G-263
FgramCML3066_01t09013	Chromosome_2	Non-effector	1	0.807	N-747
FgramCML3066_01t09027	Chromosome_2	Non-effector	1	0.463	S-564
FgramCML3066_01t09053	Chromosome_2	Non-effector	1	0.091	Q-535
FgramCML3066_01t09067	Chromosome_2	Non-effector	1	0.493	Q-446
FgramCML3066_01t09123	Chromosome_2	Non-effector	0.901	0.855	M-234
FgramCML3066_01t09131	Chromosome_2	Effector	0.996	0.091	C-88
FgramCML3066_01t09149	Chromosome_2	Effector	0.999	0.154	V-126
FgramCML3066_01t09157	Chromosome_2	Effector	0.901	0.493	R-112
FgramCML3066_01t09165	Chromosome_2	Effector	0.996	0.855	N-104
FgramCML3066_01t09173	Chromosome_2	Non-effector	1	0.72	S-261
FgramCML3066_01t09215	Chromosome_2	Non-effector	1	0.72	I-473
FgramCML3066_01t09217	Chromosome_2	Non-effector	1	0.394	D-389
FgramCML3066_01t09223	Chromosome_2	Non-effector	1	0.927	K-659
FgramCML3066_01t09269	Chromosome_2	Non-effector	1	0.867	D-663
FgramCML3066_01t09311	Chromosome_2	Non-effector	1	0.154	K-533
FgramCML3066_01t09365	Chromosome_2	Non-effector	1	0.756	N-439
FgramCML3066_01t09375	Chromosome_2	Effector	0.998	0.604	E-102
FgramCML3066_01t09407	Chromosome_2	Non-effector	1	0.036	V-497
FgramCML3066_01t09415	Chromosome_2	Non-effector	0.999	0.493	S-235
FgramCML3066_01t09425	Chromosome_2	Effector	0.999	0.675	E-71
FgramCML3066_01t09451	Chromosome_2	Effector	0.987	0.698	C-135
FgramCML3066_01t09461	Chromosome_2	Non-effector	1	0.36	S-351
FgramCML3066_01t09517	Chromosome_2	Effector	0.509	0.604	Q-126
FgramCML3066_01t09529	Chromosome_2	Non-effector	1	0.182	S-155
FgramCML3066_01t09587	Chromosome_2	Non-effector	1	0.698	I-413
FgramCML3066_01t09631	Chromosome_2	Non-effector	1	0.698	P-618
FgramCML3066_01t09647	Chromosome_2	Non-effector	0.909	0.463	E-173
FgramCML3066_01t09649	Chromosome_2	Non-effector	1	0.89	S-334
FgramCML3066_01t09787	Chromosome_2	Effector	0.617	0.84	S-115
FgramCML3066_01t09905	Chromosome_2	Effector	0.948	0.964	N-168
FgramCML3066_01t09995	Chromosome_2	Non-effector	1	0.129	S-479
FgramCML3066_01t10007	Chromosome_2	Non-effector	0.978	0.867	S-48
FgramCML3066_01t10071	Chromosome_2	Non-effector	1	0.001	E-650
FgramCML3066_01t10099	Chromosome_2	Non-effector	1	0.252	I-427
FgramCML3066_01t10171	Chromosome_2	Effector	0.998	0.72	D-29
FgramCML3066_01t10203	Chromosome_2	Non-effector	1	0.074	R-1319
FgramCML3066_01t10323	Chromosome_2	Non-effector	0.948	0.001	D-184
FgramCML3066_01t10387	Chromosome_2	Non-effector	1	0	S-437
FgramCML3066_01t10591	Chromosome_2	Non-effector	0.998	0.001	N-271
FgramCML3066_01t10821	Chromosome_2	Non-effector	1	0.018	D-827
FgramCML3066_01t10841	Chromosome_2	Non-effector	1	0.074	A-123
FgramCML3066_01t10997	Chromosome_2	Non-effector	1	0.72	L-476
FgramCML3066_01t10999	Chromosome_2	Effector	0.737	0.652	S-238
FgramCML3066_01t11045	Chromosome_2	Non-effector	1	0.001	N-487
FgramCML3066_01t11219	Chromosome_2	Non-effector	0.678	0.867	Q-266
FgramCML3066_01t11435	Chromosome_2	Effector	0.948	0.741	N-197
FgramCML3066_01t11471	Chromosome_2	Non-effector	1	0	S-646
FgramCML3066_01t11515	Chromosome_2	Non-effector	1	0.548	N-435
FgramCML3066_01t11525	Chromosome_2	Non-effector	1	0	S-741
FgramCML3066_01t11627	Chromosome_2	Non-effector	1	0.018	F-991
FgramCML3066_01t11631	Chromosome_2	Non-effector	0.656	0.992	L-205
FgramCML3066_01t11637	Chromosome_2	Non-effector	1	0.129	C-619
FgramCML3066_01t11645	Chromosome_2	Non-effector	1	0.36	C-282
FgramCML3066_01t11647	Chromosome_2	Non-effector	1	0.004	C-1517
FgramCML3066_01t11677	Chromosome_2	Non-effector	1	0.927	D-258
FgramCML3066_01t11679	Chromosome_2	Non-effector	0.999	0.001	N-246
FgramCML3066_01t11683	Chromosome_2	Effector	1	0.522	A-108
FgramCML3066_01t11689	Chromosome_2	Non-effector	1	0.575	C-318
FgramCML3066_01t11695	Chromosome_2	Non-effector	1	0.428	P-510
FgramCML3066_01t11697	Chromosome_2	Non-effector	1	0.72	W-361
FgramCML3066_01t11731	Chromosome_2	Non-effector	1	0.018	S-711
FgramCML3066_01t11737	Chromosome_2	Effector	0.999	0.36	C-83
FgramCML3066_01t11749	Chromosome_2	Non-effector	1	0.074	D-600
FgramCML3066_01t11773	Chromosome_2	Non-effector	1	0.288	Y-507
FgramCML3066_01t11775	Chromosome_2	Non-effector	0.597	0.154	P-143
FgramCML3066_01t11787	Chromosome_2	Non-effector	1	0.043	I-648
FgramCML3066_01t11797	Chromosome_2	Non-effector	1	0.001	N-169
FgramCML3066_01t11799	Chromosome_2	Effector	0.901	0.323	K-113
FgramCML3066_01t11835	Chromosome_2	Non-effector	1	0.548	S-364
FgramCML3066_01t11837	Chromosome_2	Effector	0.986	0.756	S-229
FgramCML3066_01t11865	Chromosome_2	Non-effector	1	0.154	K-516
FgramCML3066_01t11893	Chromosome_2	Non-effector	1	0.021	D-311
FgramCML3066_01t11899	Chromosome_2	Non-effector	0.996	0.919	D-291
FgramCML3066_01t11901	Chromosome_2	Non-effector	0.999	0.84	D-315
FgramCML3066_01t11923	Chromosome_2	Non-effector	1	0.36	S-513
FgramCML3066_01t11927	Chromosome_2	Effector	0.973	0.522	F-171
FgramCML3066_01t11935	Chromosome_2	Non-effector	1	0	N-365
FgramCML3066_01t11979	Chromosome_2	Non-effector	1	0.698	V-645
FgramCML3066_01t11981	Chromosome_2	Effector	0.949	0.72	C-129
FgramCML3066_01t12005	Chromosome_2	Effector	0.525	0.009	S-36
FgramCML3066_01t12013	Chromosome_2	Non-effector	0.998	0.789	N-301
FgramCML3066_01t12015	Chromosome_2	Non-effector	1	0.394	E-517
FgramCML3066_01t12019	Chromosome_2	Non-effector	1	0.72	V-905
FgramCML3066_01t12023	Chromosome_2	Non-effector	1	0.604	G-355
FgramCML3066_01t12033	Chromosome_2	Effector	0.927	0.001	D-171
FgramCML3066_01t12065	Chromosome_2	Non-effector	1	0.627	N-574
FgramCML3066_01t12091	Chromosome_2	Effector	1	0.394	D-99
FgramCML3066_01t12107	Chromosome_2	Non-effector	1	0.129	T-541
FgramCML3066_01t12119	Chromosome_2	Non-effector	1	0.548	D-870
FgramCML3066_01t12133	Chromosome_2	Non-effector	1	0.428	M-462
FgramCML3066_01t12135	Chromosome_2	Effector	0.878	0.909	D-179
FgramCML3066_01t12165	Chromosome_2	Non-effector	0.621	0.522	S-245
FgramCML3066_01t12175	Chromosome_2	Non-effector	1	0.84	N-693
FgramCML3066_01t12179	Chromosome_2	Effector	1	0.428	S-101
FgramCML3066_01t12191	Chromosome_2	Non-effector	1	0.741	S-346
FgramCML3066_01t12197	Chromosome_2	Non-effector	0.999	0.091	S-382
FgramCML3066_01t12199	Chromosome_2	Effector	0.992	0.05	N-148
FgramCML3066_01t12213	Chromosome_2	Non-effector	0.997	0.627	G-224
FgramCML3066_01t12217	Chromosome_2	Effector	0.973	0.182	D-116
FgramCML3066_01t12221	Chromosome_2	Non-effector	0.999	0.074	S-366
FgramCML3066_01t12251	Chromosome_2	Non-effector	1	0.807	M-369
FgramCML3066_01t12279	Chromosome_2	Effector	0.614	0.741	W-121
FgramCML3066_01t12281	Chromosome_2	Effector	0.999	0.627	R-115
FgramCML3066_01t12341	Chromosome_2	Effector	0.868	0.493	Q-47
FgramCML3066_01t12353	Chromosome_2	Non-effector	1	0.043	S-1108
FgramCML3066_01t12369	Chromosome_2	Non-effector	0.999	0.627	W-356
FgramCML3066_01t12373	Chromosome_2	Effector	0.987	0.252	I-62
FgramCML3066_01t12407	Chromosome_2	Non-effector	1	0.394	D-535
FgramCML3066_01t12411	Chromosome_2	Effector	0.955	0.698	T-103
FgramCML3066_01t12413	Chromosome_2	Non-effector	1	0.06	A-391
FgramCML3066_01t12423	Chromosome_2	Non-effector	1	0.091	M-249
FgramCML3066_01t12429	Chromosome_2	Non-effector	1	0.36	W-509
FgramCML3066_01t12497	Chromosome_2	Non-effector	1	0.789	Y-519
FgramCML3066_01t12567	Chromosome_2	Non-effector	1	0.109	C-861
FgramCML3066_01t12569	Chromosome_2	Non-effector	1	0.216	D-378
FgramCML3066_01t12639	Chromosome_2	Effector	0.648	0.807	R-208
FgramCML3066_01t12651	Chromosome_2	Non-effector	1	0.323	S-630
FgramCML3066_01t12673	Chromosome_2	Non-effector	1	0.006	T-390
FgramCML3066_01t12683	Chromosome_2	Non-effector	1	0.043	R-604
FgramCML3066_01t12699	Chromosome_2	Non-effector	0.942	0	N-148
FgramCML3066_01t12709	Chromosome_2	Non-effector	1	0.288	D-717
FgramCML3066_01t12717	Chromosome_2	Effector	0.806	0.867	N-127
FgramCML3066_01t12743	Chromosome_2	Non-effector	1	0.323	D-988
FgramCML3066_01t12745	Chromosome_2	Non-effector	1	0.001	N-361
FgramCML3066_01t12753	Chromosome_2	Non-effector	1	0.675	N-367
FgramCML3066_01t12777	Chromosome_2	Non-effector	1	0	D-365
FgramCML3066_01t12789	Chromosome_2	Non-effector	0.844	0.675	Q-275
FgramCML3066_01t12805	Chromosome_2	Non-effector	1	0.675	N-220
FgramCML3066_01t12831	Chromosome_2	Non-effector	0.969	0.182	V-233
FgramCML3066_01t12843	Chromosome_2	Non-effector	1	0.091	I-465
FgramCML3066_01t12849	Chromosome_2	Non-effector	1	0.96	D-799
FgramCML3066_01t12857	Chromosome_2	Non-effector	0.975	0.698	G-237
FgramCML3066_01t12863	Chromosome_2	Non-effector	1	0.001	S-400
FgramCML3066_01t12875	Chromosome_2	Non-effector	1	0.288	F-434
FgramCML3066_01t12883	Chromosome_2	Non-effector	1	0.942	I-60
FgramCML3066_01t12891	Chromosome_2	Non-effector	0.999	0.005	S-298
FgramCML3066_01t12893	Chromosome_2	Non-effector	1	0.002	V-635
FgramCML3066_01t12953	Chromosome_2	Non-effector	1	0.018	A-400
FgramCML3066_01t12961	Chromosome_2	Effector	0.807	0.675	E-201
FgramCML3066_01t12973	Chromosome_2	Non-effector	1	0.989	E-561
FgramCML3066_01t12987	Chromosome_2	Non-effector	0.901	0.84	D-126
FgramCML3066_01t13011	Chromosome_2	Effector	0.847	0.548	S-211
FgramCML3066_01t13025	Chromosome_2	Effector	0.752	0.06	S-157
FgramCML3066_01t13033	Chromosome_2	Non-effector	1	0.72	R-608
FgramCML3066_01t13057	Chromosome_2	Non-effector	1	0.84	E-461
FgramCML3066_01t13075	Chromosome_2	Non-effector	1	0.014	F-352
FgramCML3066_01t13101	Chromosome_2	Non-effector	0.966	0.756	L-268
FgramCML3066_01t13131	Chromosome_2	Non-effector	1	0.522	M-565
FgramCML3066_01t13161	Chromosome_2	Non-effector	0.73	0.879	D-164
FgramCML3066_01t13171	Chromosome_2	Non-effector	0.799	0.36	N-331
FgramCML3066_01t13177	Chromosome_2	Non-effector	0.998	0.288	E-281
FgramCML3066_01t13181	Chromosome_2	Non-effector	1	0.36	L-312
FgramCML3066_01t13183	Chromosome_2	Non-effector	1	0.675	I-422
